epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.3831,1.50538,4.07128,1.52828,0.36968,0.26158,0.15883,0.07296,1.5856,3.20312,1.65309,0.000331481,0.000331481,0.000331481
2,166.991,1.51181,3.34973,1.5058,0.17205,0.20474,0.13159,0.05428,1.78191,3.49303,1.74431,0.000661524,0.000661524,0.000661524
3,234.418,1.537,3.03906,1.49837,0.40214,0.32756,0.23587,0.10729,1.66363,2.61929,1.63937,0.000988266,0.000988266,0.000988266
4,302.064,1.5034,2.77818,1.465,0.43116,0.30953,0.27132,0.11896,1.61569,2.69921,1.53882,0.00098515,0.00098515,0.00098515
5,368.908,1.50419,2.62487,1.45768,0.32661,0.35984,0.30555,0.1448,1.62685,2.54515,1.56434,0.0009802,0.0009802,0.0009802
6,435.857,1.48232,2.46528,1.43175,0.49992,0.41819,0.38097,0.17469,1.61015,2.22888,1.52626,0.00097525,0.00097525,0.00097525
7,503.677,1.47783,2.34715,1.40653,0.56735,0.40358,0.41628,0.18289,1.63629,2.18699,1.5106,0.0009703,0.0009703,0.0009703
8,570.974,1.47143,2.28569,1.42823,0.52393,0.4172,0.4012,0.18815,1.59265,2.26882,1.50454,0.00096535,0.00096535,0.00096535
9,637.958,1.48357,2.23911,1.41015,0.48379,0.39366,0.43872,0.21845,1.56393,2.08955,1.48431,0.0009604,0.0009604,0.0009604
10,704.878,1.45454,2.15817,1.40533,0.5656,0.46624,0.45952,0.20881,1.62491,2.00602,1.49101,0.00095545,0.00095545,0.00095545
11,771.554,1.44369,2.15833,1.39498,0.29726,0.36319,0.30009,0.12048,1.89745,2.60383,1.64435,0.0009505,0.0009505,0.0009505
